StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,452.7609608999919,None,plane,25,69,aloud,yellow,450.7592597999901,None,None,,450.7592597999901,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,455.2789300000004,None,scene,72,70,aloud,red,453.2648604999995,None,None,,453.2648604999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,457.7815246999962,None,suspect,56,71,aloud,blue,455.78031349999947,None,None,,455.78031349999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,460.2838420999906,None,discovery,78,72,aloud,red,458.28459860000294,None,None,,458.28459860000294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,462.78623679999146,None,measure,61,73,aloud,red,460.78566259999934,None,None,,460.78566259999934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,465.28898800000024,None,bright,46,74,aloud,blue,463.2899350999942,None,None,,463.2899350999942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,467.7914665999997,None,build,79,75,aloud,red,465.79247669999313,None,None,,465.79247669999313,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,470.31080989999464,None,turkey,20,76,aloud,yellow,468.2977316000033,None,None,,468.2977316000033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,472.8307782999909,None,travel,7,77,aloud,yellow,470.8145421999943,None,None,,470.8145421999943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,475.3490354999958,None,breath,48,78,aloud,blue,473.33787329999905,None,None,,473.33787329999905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,477.851608500001,None,century,77,79,aloud,red,475.85162069999205,None,None,,475.85162069999205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,480.37072789999365,None,health,86,80,aloud,red,478.35662809999485,None,None,,478.35662809999485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,482.873116200004,None,notice,21,81,aloud,yellow,480.870961099994,None,None,,480.870961099994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,485.3924637000018,None,mankind,50,82,aloud,blue,483.3778132000007,None,None,,483.3778132000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
